pid,genero
1.0,Drama
1.0,Comedia
1.0,Biografía
2.0,Comedia
3.0,Drama
3.0,Comedia
4.0,Thriller sicológico
4.0,Thriller
4.0,Misterio
4.0,Drama
5.0,Horror
6.0,Ciencia ficción
6.0,Cyberpunk
6.0,Ciencia ficción apocalíptica
6.0,Thriller
6.0,Drama
7.0,Drama
7.0,Crimen
7.0,Acción
8.0,Cyberpunk
8.0,Ciencia ficción
8.0,Aventura
8.0,Acción
9.0,Familiar
9.0,Comedia
10.0,Crimen
10.0,Misterio
10.0,Drama
11.0,Comedia
11.0,Drama
11.0,Romance
12.0,Comedia
12.0,Aventura
12.0,Animación
13.0,Romance Planetario
13.0,Ciencia ficción
13.0,Aventura
13.0,Acción
14.0,Misterio
14.0,Drama
14.0,Cyberpunk
14.0,Ciencia ficción
15.0,Drama
15.0,Biografía
15.0,Histórico
16.0,Crimen
16.0,Comedia
16.0,Acción
17.0,Comedia
18.0,Drama
19.0,Música
19.0,Drama
19.0,Comedia
20.0,Comedia
20.0,Aventura
20.0,Animación
21.0,Comedia
21.0,Romance
21.0,Drama
22.0,Drama
22.0,Romance
23.0,Comedia
23.0,Aventura
23.0,Animación
24.0,Drama
25.0,Horror
26.0,Horror
27.0,Drama
27.0,Deporte
27.0,Biografía
28.0,Drama
29.0,Thriller
29.0,Crimen
29.0,Acción
30.0,Acción
30.0,Aventura
30.0,Ciencia ficción
30.0,Biopunk
31.0,Thriller
31.0,Crimen
31.0,Acción
32.0,Drama
33.0,Drama
34.0,Horror
35.0,Thriller
35.0,Misterio
36.0,Horror
36.0,Thriller
37.0,Drama
38.0,Comedia
38.0,Drama
39.0,Drama
40.0,Crimen
40.0,Comedia
40.0,Acción
41.0,Thriller
41.0,Acción
42.0,Fantasía
42.0,Aventura
42.0,Acción
43.0,Thriller
43.0,Acción
44.0,Aventura
44.0,Drama
44.0,Misterio
45.0,Fantasía
45.0,Drama
46.0,Comedia
46.0,Aventura
46.0,Acción
47.0,Fantasía
47.0,Aventura
47.0,Acción
48.0,Misterio
48.0,Drama
48.0,Cyberpunk
48.0,Ciencia ficción
49.0,Comedia
49.0,Romance
50.0,Animación
50.0,Acción
50.0,Aventura
51.0,Romance
51.0,Drama
51.0,Comedia
52.0,Familiar
52.0,Deporte
53.0,Histórico
53.0,Drama
53.0,Acción
54.0,Thriller
54.0,Crimen
55.0,Thriller
55.0,Horror
56.0,Comedia
56.0,Drama
56.0,Romance
57.0,Crimen
57.0,Comedia
57.0,Acción
58.0,Familiar
58.0,Drama
58.0,Comedia
59.0,Misterio
59.0,Horror
59.0,Drama
60.0,Romance
60.0,Drama
60.0,Comedia
61.0,Drama
61.0,Comedia
61.0,Romance
62.0,Drama
62.0,Comedia
63.0,Fantasía
63.0,Familiar
63.0,Animación
64.0,Misterio
64.0,Horror
65.0,Romance
65.0,Comedia
66.0,Thriller
66.0,Acción
67.0,Acción
67.0,Horror
67.0,Drama
68.0,Drama
68.0,Romance
69.0,Drama
69.0,Crimen
70.0,Crimen
70.0,Comedia
70.0,Biografía
71.0,Drama
71.0,Comedia
72.0,Horror
72.0,Fantasía
72.0,Drama
73.0,Guerra
73.0,Drama
74.0,Animación
74.0,Aventura
74.0,Comedia
75.0,Comedia
76.0,Drama
76.0,Biografía
77.0,Romance
77.0,Comedia
78.0,Thriller
78.0,Acción
79.0,Comedia
79.0,Aventura
79.0,Acción
80.0,Música
80.0,Drama
80.0,Biografía
81.0,Thriller
82.0,Comedia
82.0,Horror
83.0,Thriller
83.0,Drama
83.0,Crimen
84.0,Drama
84.0,Comedia
84.0,Biografía
85.0,Fantasía
85.0,Aventura
85.0,Acción
86.0,Drama
86.0,Crimen
86.0,Biografía
87.0,Comedia
87.0,Romance
87.0,Drama
88.0,Comedia
89.0,Comedia
90.0,Romance
90.0,Comedia
91.0,Romance
91.0,Drama
91.0,Comedia
92.0,Romance
92.0,Comedia
93.0,Acción
93.0,Drama
93.0,Crimen
94.0,Fantasía oscura
94.0,Thriller
95.0,Thriller
95.0,Horror
95.0,Acción
96.0,Comedia
96.0,Aventura
96.0,Acción
97.0,Drama
98.0,Comedia
99.0,Crimen
99.0,Biografía
99.0,Acción
100.0,Drama
100.0,Comedia
101.0,Slasher
101.0,Horror
