pago_id,monto,fecha,uid
1,6500,2021-06-14,102
2,6500,2021-07-14,102
3,4000,2021-03-21,102
4,4000,2021-04-21,102
5,4000,2021-05-21,102
6,4000,2021-06-21,102
7,4000,2021-07-21,102
8,4000,2021-08-21,102
9,4000,2021-09-21,102
10,4000,2021-10-21,102
11,4000,2021-11-21,102
12,4000,2021-12-21,102
13,5000,2021-01-31,102
14,5000,2021-02-28,102
15,5000,2021-03-28,102
16,5000,2021-04-28,102
17,5000,2021-05-28,102
18,5000,2021-06-28,102
19,5000,2021-07-28,102
20,5000,2021-08-28,102
21,5000,2021-09-28,102
22,5000,2021-10-28,102
23,5000,2021-11-28,102
24,5000,2021-12-28,102
25,7000,2021-08-24,102
26,7000,2021-09-24,102
27,7000,2021-10-24,102
28,7000,2021-11-24,102
29,7000,2021-12-24,102
30,4500,2021-07-10,102
31,4500,2021-07-11,102
32,4500,2021-07-12,102
33,6500,2021-11-07,22
34,6500,2021-11-08,22
35,6500,2021-11-09,22
36,6500,2021-11-10,22
37,6500,2021-11-11,22
38,6500,2021-11-12,22
39,6500,2020-09-28,22
40,6500,2020-10-28,22
41,6500,2020-11-28,22
42,6500,2020-12-28,22
43,6500,2021-01-28,22
44,6500,2021-02-28,22
45,6500,2021-03-28,22
46,6500,2021-04-28,22
47,6500,2021-05-28,22
48,6500,2021-06-28,22
49,6500,2021-07-28,22
50,6500,2021-08-28,22
51,6500,2021-09-28,22
52,6500,2021-10-28,22
53,6500,2021-11-28,22
54,6500,2021-12-28,22
55,5000,2020-08-05,22
56,5000,2020-08-06,22
57,5000,2020-08-07,22
58,5000,2020-08-08,22
59,5000,2020-08-09,22
60,5000,2020-08-10,22
61,5000,2020-08-11,22
62,5000,2020-08-12,22
63,5000,2021-08-01,22
64,5000,2021-08-02,22
65,5000,2021-08-03,22
66,5000,2021-08-04,22
67,5000,2021-08-05,22
68,5000,2021-08-06,22
69,5000,2021-08-07,22
70,5000,2021-08-08,22
71,5000,2021-08-09,22
