id_res,id_usuario,id_videojuego,veredicto,titulo,texto
1,9,126.0,negativo,Muy Malo,Este juego viene directamente de Mordor
2,9,6036.0,negativo,Y pensar que me perdí la boda de mi hija por este juego,Nooo el juego
3,9,26758.0,positivo,"No me calza el precio con la calidad del juego, debería costar mucho más","Todos hablan del New World pero no tienen ni idea de este juego, ni colas tiene"
4,10,74.0,positivo,"No me calza el precio con la calidad del juego, debería costar mucho más",No entiendo el motivo por el cual no han sacado una nueva entrega aún
5,11,11208.0,negativo,Em... tenía final el juego?,Más malo que la pizza helada
6,12,74.0,positivo,Me encantaría saber si tiene una secuela,"Me encantó, nada más que decir"
7,22,1384.0,positivo,"No me calza el precio con la calidad del juego, debería costar mucho más",Me recuerda cuando era joven
8,22,2031.0,negativo,"Podré ser feo, pero definitivamente soy mejor que este juego... ok no","Me entraron a robar a la casa, luego los ladrones me vinieron personalmente a dejar el videojuego devuelta"
9,22,9730.0,positivo,El mejor Juego del Mundo,Ahhhh... un manjarsh
10,23,375.0,positivo,Nisiquiera la mejor de las odas podría describir este juego,No entiendo el motivo por el cual no han sacado una nueva entrega aún
11,23,6036.0,negativo,"No es malo, no, es malísimo",Peor que mis laboratorios con margen de error del 1000%
12,27,493.0,positivo,Vine buscando cobre y encontré oro,No entiendo el motivo por el cual no han sacado una nueva entrega aún
13,38,74.0,negativo,"Podré ser feo, pero definitivamente soy mejor que este juego... ok no",Nooo el juego
14,40,20.0,negativo,Parace una broma que existe un juego como este,No logré comprender la idea del juego
15,40,230.0,negativo,Es más malo que malini,Muy facil y muy caro para las horas efectivas de juego
16,40,498.0,negativo,Peor que no ir vestido de traje a un bar,Este juego viene directamente de Mordor
17,40,549.0,negativo,Parace una broma que existe un juego como este,"Quería procrastinar, de verdad lo intenté, pero antes de jugar este juego prefiero estudiar"
18,40,9730.0,positivo,"Si este juego fuera One Piece, me vería los 1000 episodios","Todos hablan del New World pero no tienen ni idea de este juego, ni colas tiene"
19,40,26758.0,negativo,Pensar que me entusiasmó en un principio...,"Quería procrastinar, de verdad lo intenté, pero antes de jugar este juego prefiero estudiar"
20,41,1074.0,negativo,Se podrá solicitar la devolución del tiempo perdido en este juego?,La dificultad es terriblemente alta
21,45,1068.0,positivo,"Si este juego fuera One Piece, me vería los 1000 episodios",Me recuerda cuando era joven
22,47,74.0,positivo,Me encantaría saber si tiene una secuela,"Consistente, repleto de contenido, soprendentemente bueno"
23,47,7334.0,negativo,Es más malo que malini,La dificultad es terriblemente alta
24,54,74.0,negativo,No sé como logró subir por los 9 círculos del infierno este juego,Cómo arruinar tu vida en 1 simple paso: compra este juego
25,54,239.0,positivo,El mejor Juego del Mundo,Interesante
26,54,549.0,positivo,Es el guaripolo de los videojuegos,"Consistente, repleto de contenido, soprendentemente bueno"
27,54,731.0,positivo,Vine buscando cobre y encontré oro,No puedo creer que no haya jugado esto antes
28,54,17000.0,positivo,Horas de diversión,"Me acabo de echar 3 ramos, pero valió la pena"
29,64,1068.0,positivo,Pero que ofertón,A mi hijo le encanta
30,64,11208.0,negativo,Em... tenía final el juego?,Este juego viene directamente de Mordor
31,74,731.0,positivo,"No decepciona, incluso sorprende",No puedo creer que no haya jugado esto antes
32,77,493.0,positivo,Me soprende que no tenga más premios,"Consistente, repleto de contenido, soprendentemente bueno"
33,77,9630.0,positivo,Me soprende que no tenga más premios,Horas de diversión para amigos y familia
34,77,9730.0,negativo,"Podré ser feo, pero definitivamente soy mejor que este juego... ok no",Más malo que la pizza helada
35,78,2031.0,negativo,"No es malo, no, es malísimo",No logré comprender la idea del juego
36,79,74.0,negativo,Muy Malo,Perder mi tiempo en este juego fue la peor idea que he tenido en estos últimos días
37,79,239.0,negativo,Se podrá solicitar la devolución del tiempo perdido en este juego?,Terriblemente malo
38,80,74.0,negativo,Y pensar que me perdí la boda de mi hija por este juego,Perder mi tiempo en este juego fue la peor idea que he tenido en estos últimos días
39,87,1068.0,negativo,No entiendo por qué no regalan este juego,Muy malo
40,89,20.0,negativo,No entiendo por qué no regalan este juego,Nooo el juego
41,89,498.0,positivo,Increíble nada más que decir,"Consistente, repleto de contenido, soprendentemente bueno"
42,89,1068.0,negativo,Peor juego,Honestamente prefiero jugar a mirar el techo
43,89,5503.0,positivo,Es el guaripolo de los videojuegos,"A decir verdad, encuentro que este videojuego va a revolucionar todo el género"
44,89,9630.0,negativo,Es más malo que malini,Peor que mis laboratorios con margen de error del 1000%
45,90,2031.0,negativo,Es más malo que malini,La dificultad es terriblemente alta
46,91,2031.0,negativo,Peor juego,No logré comprender la idea del juego
47,93,549.0,negativo,Peor que no ir vestido de traje a un bar,Prefiero estar de acuerdo con sclaper antes que darle un buen review a este juego
48,94,74.0,positivo,"No me calza el precio con la calidad del juego, debería costar mucho más",Quien necesita un sniker cuando tienes el pedazo de juego a tu disposición
